Song,Year,Month,Day,Lyrics
Love Me Do,1962,October,5,Yes
P.S. I Love You,1962,October,5,Yes
Ask Me Why,1963,January,11,Yes
Please Please Me,1963,January,11,Yes
A Taste Of Honey,1963,March,22,Yes
Anna (Go To Him),1963,March,22,Yes
Boys,1963,March,22,No
Chains,1963,March,22,No
Do You Want To Know A Secret,1963,March,22,Yes
I Saw Her Standing There,1963,March,22,Yes
Misery,1963,March,22,Yes
There's A Place,1963,March,22,Yes
Twist And Shout,1963,March,22,Yes
From Me To You,1963,April,11,Yes
Thank You Girl,1963,April,11,Yes
I'll Get You,1963,August,23,Yes
She Loves You,1963,August,23,Yes
Hello Little Girl,1963,August,30,Yes
All I've Got To Do,1963,November,22,Yes
All My Loving,1963,November,22,Yes
Devil In Her Heart,1963,November,22,Yes
Don't Bother Me,1963,November,22,Yes
Hold Me Tight,1963,November,22,Yes
I Wanna Be Your Man,1963,November,22,Yes
It Won't Be Long,1963,November,22,Yes
Little Child,1963,November,22,Yes
Money (That's What I Want),1963,November,22,Yes
Not A Second Time,1963,November,22,Yes
Please Mister Postman,1963,November,22,Yes
Roll Over Beethoven,1963,November,22,Yes
Till There Was You,1963,November,22,Yes
You Really Got A Hold On Me,1963,November,22,Yes
I Want To Hold Your Hand,1963,November,29,Yes
This Boy,1963,November,29,Yes
Cry For A Shadow,1964,March,27,Yes
Any Time At All,1964,June,10,Yes
I'll Be Back,1964,June,10,Yes
When I Get Home,1964,June,10,Yes
I Call Your Name,1964,June,19,Yes
A Hard Day's Night,1964,July,10,Yes
And I Love Her,1964,July,10,Yes
Can't Buy Me Love,1964,July,10,Yes
I Should Have Known Better,1964,July,10,Yes
I'll Cry Instead,1964,July,10,Yes
If I Fell,1964,July,10,Yes
Tell Me Why,1964,July,10,Yes
Things We Said Today,1964,July,10,Yes
You Can't Do That,1964,July,10,Yes
I'm Happy Just To Dance With You,1964,August,20,Yes
I Feel Fine,1964,November,23,Yes
She's A Woman,1964,November,23,Yes
Baby's In Black,1964,December,4,Yes
Eight Days A Week,1964,December,4,Yes
Every Little Thing,1964,December,4,Yes
Everybody's Trying To Be My Baby,1964,December,4,Yes
Honey Don't,1964,December,4,Yes
I Don't Want To Spoil The Party,1964,December,4,Yes
I'll Follow The Sun,1964,December,4,Yes
I'm A Loser,1964,December,4,Yes
Kansas City / Hey-Hey-Hey-Hey!,1964,December,4,Yes
Mr. Moonlight,1964,December,4,Yes
No Reply,1964,December,4,Yes
Rock And Roll Music,1964,December,4,Yes
What You're Doing,1964,December,4,Yes
Words Of Love,1964,December,4,Yes
Ticket To Ride,1965,April,9,Yes
Yes It Is,1965,April,9,Yes
Bad Boy,1965,June,14,Yes
Help!,1965,July,19,Yes
I'm Down,1965,July,19,Yes
Act Naturally,1965,August,6,Yes
Another Girl,1965,August,6,Yes
Dizzy Miss Lizzy,1965,August,6,Yes
I Need You,1965,August,6,Yes
I've Just Seen a Face,1965,August,6,Yes
It's Only Love,1965,August,6,Yes
Tell Me What You See,1965,August,6,Yes
The Night Before,1965,August,6,Yes
Yesterday,1965,August,6,Yes
You're Going To Lose That Girl,1965,August,6,Yes
You've Got To Hide Your Love Away,1965,August,6,Yes
Day Tripper,1965,December,3,Yes
Girl,1965,December,3,Yes
I'm Looking Through You,1965,December,3,Yes
If I Needed Someone,1965,December,3,Yes
In My Life,1965,December,3,Yes
Michelle,1965,December,3,Yes
Norwegian Wood (This Bird Has Flown),1965,December,3,Yes
Nowhere Man,1965,December,3,Yes
Run For Your Life,1965,December,3,Yes
The Word,1965,December,3,Yes
Think For Yourself,1965,December,3,Yes
Wait,1965,December,3,Yes
We Can Work It Out,1965,December,3,Yes
What Goes On,1965,December,3,Yes
You Won't See Me,1965,December,3,Yes
Paperback Writer,1966,May,30,Yes
Rain,1966,May,30,Yes
And Your Bird Can Sing,1966,August,5,Yes
Doctor Robert,1966,August,5,Yes
Eleanor Rigby,1966,August,5,Yes
For No One,1966,August,5,Yes
Good Day Sunshine,1966,August,5,Yes
Got To Get You Into My Life,1966,August,5,Yes
"Here, There And Everywhere",1966,August,5,Yes
I Want To Tell You,1966,August,5,Yes
I'm Only Sleeping,1966,August,5,Yes
Love You To,1966,August,5,Yes
She Said She Said,1966,August,5,Yes
Taxman,1966,August,5,Yes
Tomorrow Never Knows,1966,August,5,Yes
Yellow Submarine,1966,August,5,Yes
Penny Lane,1967,February,13,Yes
Strawberry Fields Forever,1967,February,13,Yes
A Day In The Life,1967,June,1,Yes
Being for the Benefit of Mr. Kite!,1967,June,1,Yes
Fixing A Hole,1967,June,1,Yes
Getting Better,1967,June,1,Yes
Good Morning Good Morning,1967,June,1,Yes
Lovely Rita,1967,June,1,Yes
Lucy In The Sky With Diamonds,1967,June,1,Yes
Sgt. Pepper's Lonely Hearts Club Band,1967,June,1,Yes
Sgt. Pepper's Lonely Hearts Club Band (Reprise),1967,June,1,Yes
She's Leaving Home,1967,June,1,Yes
When I'm Sixty Four,1967,June,1,Yes
With A Little Help From My Friends,1967,June,1,Yes
Within You Without You,1967,June,1,Yes
All You Need Is Love,1967,July,7,Yes
Baby You're A Rich Man,1967,July,7,Yes
"Hello, Goodbye",1967,November,24,Yes
I Am The Walrus,1967,November,24,Yes
Blue Jay Way,1967,November,27,Yes
Flying,1967,November,27,No
Magical Mystery Tour,1967,November,27,Yes
The Fool On The Hill,1967,November,27,Yes
Your Mother Should Know,1967,November,27,Yes
Lady Madonna,1968,March,15,Yes
The Inner Light,1968,March,15,Yes
Hey Jude,1968,August,26,Yes
Revolution,1968,August,26,No
Back in the U.S.S.R,1968,November,22,Yes
Birthday,1968,November,22,Yes
Blackbird,1968,November,22,Yes
Cry Baby Cry,1968,November,22,Yes
Dear Prudence,1968,November,22,Yes
Don't Pass Me By,1968,November,22,Yes
Drive My Car,1968,November,22,Yes
Everybody's Got Something to Hide Except Me and My Monkey,1968,November,22,Yes
Glass Onion,1968,November,22,Yes
Good Night,1968,November,22,Yes
Happiness Is A Warm Gun,1968,November,22,Yes
Helter Skelter,1968,November,22,Yes
Honey Pie,1968,November,22,Yes
I Will,1968,November,22,Yes
I'm So Tired,1968,November,22,Yes
